Date, Open, High, Low, Close
11/02/84, 167.42, 167.95, 167.24, 167.42
11/01/84, 167.49, 167.83, 166.09, 167.49
10/31/84, 166.09, 166.95, 165.99, 166.09
10/30/84, 166.84, 167.33, 164.78, 166.84
10/29/84, 164.78, 165.29, 164.67, 164.78
10/26/84, 165.29, 166.31, 164.93, 165.29
10/25/84, 166.31, 167.62, 166.17, 166.31
10/24/84, 167.20, 167.54, 166.82, 167.20
10/23/84, 167.09, 168.27, 166.83, 167.09
10/22/84, 167.36, 168.36, 167.26, 167.36
10/19/84, 167.96, 169.62, 167.31, 167.96
10/18/84, 168.10, 168.10, 163.80, 168.10
10/17/84, 164.14, 165.04, 163.71, 164.14
10/16/84, 164.78, 165.78, 164.66, 164.78
10/15/84, 165.77, 166.15, 164.09, 165.77
10/12/84, 164.18, 164.47, 162.78, 164.18
10/11/84, 162.78, 162.87, 162.00, 162.78
10/10/84, 162.11, 162.12, 160.02, 162.11
10/09/84, 161.67, 162.84, 161.62, 161.67
10/08/84, 162.13, 162.68, 161.80, 162.13
10/05/84, 162.68, 163.32, 162.51, 162.68
10/04/84, 162.92, 163.16, 162.44, 162.92
10/03/84, 162.44, 163.59, 162.20, 162.44
10/02/84, 163.59, 165.24, 163.55, 163.59
10/01/84, 164.62, 166.10, 164.48, 164.62
09/28/84, 166.10, 166.96, 165.77, 166.10
09/27/84, 166.96, 167.18, 166.28, 166.96
09/26/84, 166.28, 167.20, 165.61, 166.28
09/25/84, 165.62, 165.97, 164.45, 165.62
09/24/84, 165.28, 166.12, 164.98, 165.28
09/21/84, 165.67, 168.67, 165.66, 165.67
09/20/84, 167.47, 167.47, 166.70, 167.47
09/19/84, 166.94, 166.94, 166.89, 166.94
09/18/84, 167.65, 168.87, 167.64, 167.65
09/17/84, 168.87, 169.37, 167.99, 168.87
09/14/84, 168.78, 169.65, 167.94, 168.78
09/13/84, 167.94, 167.94, 164.68, 167.94
09/12/84, 164.68, 164.81, 164.14, 164.68
09/11/84, 164.45, 166.17, 164.26, 164.45
09/10/84, 164.26, 165.05, 164.26, 164.26
09/07/84, 164.37, 166.31, 164.22, 164.37
09/06/84, 165.65, 165.95, 164.29, 165.65
09/05/84, 164.29, 164.88, 163.84, 164.29
09/04/84, 164.88, 166.68, 164.73, 164.88
08/31/84, 166.68, 166.68, 165.78, 166.68
08/30/84, 166.60, 167.19, 166.55, 166.60
08/29/84, 167.10, 168.21, 167.03, 167.10
08/28/84, 167.40, 167.43, 166.21, 167.40
08/27/84, 166.44, 167.51, 165.81, 166.44
08/24/84, 167.51, 167.52, 167.12, 167.51
08/23/84, 167.12, 167.78, 166.61, 167.12
08/22/84, 167.06, 168.80, 166.92, 167.06
08/21/84, 167.83, 168.22, 164.93, 167.83
08/20/84, 164.94, 164.94, 163.76, 164.94
08/17/84, 164.14, 164.61, 163.78, 164.14
08/16/84, 163.77, 164.42, 162.75, 163.77
08/15/84, 162.80, 164.42, 162.75, 162.80
08/14/84, 164.42, 166.09, 164.28, 164.42
08/13/84, 165.43, 165.49, 163.98, 165.43
08/10/84, 165.42, 168.59, 165.24, 165.42
08/09/84, 165.54, 165.88, 161.47, 165.54
08/08/84, 161.75, 163.87, 161.75, 161.75
08/07/84, 162.71, 163.58, 160.81, 162.71
08/06/84, 162.60, 165.27, 162.09, 162.60
08/03/84, 162.35, 162.56, 157.99, 162.35
08/02/84, 157.99, 157.99, 154.08, 157.99
08/01/84, 154.08, 154.08, 150.66, 154.08
07/31/84, 150.66, 151.77, 149.65, 150.66
07/30/84, 150.19, 151.19, 150.14, 150.19
07/27/84, 151.19, 151.38, 149.99, 151.19
07/26/84, 150.08, 150.16, 148.83, 150.08
07/25/84, 148.83, 149.30, 147.26, 148.83
07/24/84, 147.82, 149.28, 147.78, 147.82
07/23/84, 148.95, 149.55, 147.85, 148.95
07/20/84, 149.55, 158.58, 149.07, 149.55
07/19/84, 150.37, 151.40, 150.27, 150.37
07/18/84, 151.40, 152.38, 151.11, 151.40
07/17/84, 152.38, 152.60, 151.26, 152.38
07/16/84, 151.60, 151.30, 150.14, 151.60
07/13/84, 150.88, 151.16, 150.03, 150.88
07/12/84, 150.03, 151.06, 149.63, 150.03
07/11/84, 150.56, 152.50, 151.46, 150.56
07/10/84, 152.89, 153.53, 152.57, 152.89
07/09/84, 153.36, 153.53, 151.44, 153.36
07/06/84, 152.24, 152.76, 151.63, 152.24
07/05/84, 152.76, 153.87, 152.71, 152.76
07/03/84, 153.70, 153.86, 153.10, 153.70
07/02/84, 153.20, 153.22, 152.44, 153.20
06/29/84, 153.18, 153.95, 153.21, 153.18
06/28/84, 152.84, 153.07, 151.62, 152.84
06/27/84, 151.64, 152.88, 151.30, 151.64
06/26/84, 152.71, 153.97, 152.47, 152.71
06/25/84, 153.97, 154.50, 154.04, 153.97
06/22/84, 154.47, 154.92, 153.89, 154.47
06/21/84, 154.51, 155.64, 154.05, 154.51
06/20/84, 154.84, 154.84, 150.96, 154.84
06/19/84, 152.61, 153.00, 151.73, 152.61
06/18/84, 151.73, 151.92, 148.53, 151.73
06/15/84, 149.03, 150.56, 149.42, 149.03
06/14/84, 150.39, 151.89, 150.70, 150.39
06/13/84, 152.13, 152.85, 151.86, 152.13
06/12/84, 152.19, 153.07, 151.61, 152.19
06/11/84, 153.06, 155.17, 153.00, 153.06
06/08/84, 155.17, 155.20, 154.64, 155.17
06/07/84, 154.92, 155.11, 154.36, 154.92
06/06/84, 155.01, 155.03, 153.38, 155.01
06/05/84, 153.65, 154.34, 153.28, 153.65
06/04/84, 154.34, 155.10, 153.24, 154.34
06/01/84, 153.24, 153.24, 150.55, 153.24
05/31/84, 150.55, 150.69, 149.76, 150.55
05/30/84, 150.35, 151.43, 148.68, 150.35
05/29/84, 150.29, 151.86, 149.95, 150.29
05/25/84, 151.62, 152.02, 150.85, 151.62
05/24/84, 151.23, 153.15, 150.80, 151.23
05/23/84, 153.15, 154.02, 153.10, 153.15
05/22/84, 153.88, 154.73, 152.99, 153.88
05/21/84, 154.73, 156.11, 154.63, 154.73
05/18/84, 155.78, 156.77, 155.24, 155.78
05/17/84, 156.57, 157.99, 156.15, 156.57
05/16/84, 157.99, 158.41, 157.83, 157.99
05/15/84, 158.00, 158.27, 157.29, 158.00
05/14/84, 157.50, 158.49, 157.20, 157.50
05/11/84, 158.49, 160.00, 157.42, 158.49
05/10/84, 160.00, 160.45, 159.61, 160.00
05/09/84, 160.11, 161.31, 159.39, 160.11
05/08/84, 160.52, 160.52, 159.14, 160.52
05/07/84, 159.47, 159.48, 158.63, 159.47
05/04/84, 159.11, 161.20, 158.33, 159.11
05/03/84, 161.20, 161.90, 160.95, 161.20
05/02/84, 161.90, 162.11, 161.41, 161.90
05/01/84, 161.68, 161.69, 160.05, 161.68
04/30/84, 160.05, 160.43, 159.30, 160.05
04/27/84, 159.89, 160.69, 159.77, 159.89
04/26/84, 160.30, 160.50, 158.65, 160.30
04/25/84, 158.65, 158.77, 157.80, 158.65
04/24/84, 158.07, 158.38, 156.63, 158.07
04/23/84, 156.80, 158.05, 156.79, 156.80
04/19/84, 158.02, 159.02, 157.10, 158.02
04/18/84, 157.90, 158.97, 157.64, 157.90
04/17/84, 158.97, 169.59, 158.32, 158.97
04/16/84, 158.32, 158.35, 156.49, 158.32
04/13/84, 157.31, 158.87, 157.13, 157.31
04/12/84, 157.73, 157.74, 154.17, 157.73
04/11/84, 155.00, 156.31, 154.90, 155.00
04/10/84, 155.87, 156.57, 155.45, 155.87
04/09/84, 155.45, 155.86, 154.71, 155.45
04/06/84, 155.48, 155.48, 154.12, 155.48
04/05/84, 155.04, 158.10, 154.96, 155.04
04/04/84, 157.54, 158.11, 157.29, 157.54
04/03/84, 157.66, 158.27, 157.17, 157.66
04/02/84, 157.98, 159.87, 157.63, 157.98
03/30/84, 159.18, 159.52, 158.92, 159.18
03/29/84, 159.52, 160.46, 159.52, 159.52
03/28/84, 159.88, 159.90, 157.30, 159.88
03/27/84, 157.30, 157.30, 156.61, 157.30
03/26/84, 156.67, 157.18, 156.31, 156.67
03/23/84, 156.86, 156.90, 156.05, 156.86
03/22/84, 156.69, 158.67, 156.61, 156.69
03/21/84, 158.66, 159.26, 158.59, 158.66
03/20/84, 158.86, 159.17, 157.78, 158.86
03/19/84, 157.78, 159.27, 157.28, 157.78
03/16/84, 159.27, 160.45, 157.41, 159.27
03/15/84, 157.41, 158.05, 156.73, 157.41
03/14/84, 156.77, 157.17, 156.22, 156.77
03/13/84, 156.78, 157.93, 156.34, 156.78
03/12/84, 156.34, 156.35, 154.35, 156.34
03/09/84, 154.35, 155.19, 153.17, 154.35
03/08/84, 155.19, 155.80, 154.35, 155.19
03/07/84, 154.57, 156.25, 153.81, 154.57
03/06/84, 156.25, 158.37, 156.21, 156.25
03/05/84, 157.89, 159.24, 157.59, 157.89
03/02/84, 159.24, 159.90, 158.19, 159.24
03/01/84, 158.19, 158.19, 156.77, 158.19
02/29/84, 157.06, 158.27, 156.41, 157.06
02/28/84, 156.82, 159.30, 156.59, 156.82
02/27/84, 159.30, 159.58, 157.08, 159.30
02/24/84, 157.51, 157.51, 154.29, 157.51
02/23/84, 154.29, 154.45, 152.13, 154.29
02/22/84, 154.31, 155.10, 153.94, 154.31
02/21/84, 154.64, 155.74, 154.47, 154.64
02/17/84, 155.74, 156.80, 155.51, 155.74
02/16/84, 156.13, 156.44, 155.44, 156.13
02/15/84, 156.25, 157.48, 156.10, 156.25
02/14/84, 156.61, 156.61, 154.95, 156.61
02/13/84, 154.95, 156.32, 154.13, 154.95
02/10/84, 156.30, 156.52, 155.42, 156.30
02/09/84, 155.42, 156.17, 154.30, 155.42
02/08/84, 155.85, 158.65, 155.07, 155.85
