Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CHG_PCT_1D,VOLATILITY_30D
9/3/1928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.24
9/4/1928,20.97,20.97,20.97,20.97,0.48,11.22
9/5/1928,21.07,21.07,21.07,21.07,0.48,11.23
9/6/1928,20.94,20.94,20.94,20.94,-0.62,11.41
9/7/1928,21.09,21.09,21.09,21.09,0.72,11.49
9/10/1928,20.92,20.92,20.92,20.92,-0.81,11.88
9/11/1928,21.08,21.08,21.08,21.08,0.76,11.93
9/12/1928,21.16,21.16,21.16,21.16,0.38,11.69
9/13/1928,21.14,21.14,21.14,21.14,-0.09,11.75
9/14/1928,21.14,21.14,21.14,21.14,0,11.5
9/17/1928,21.33,21.33,21.33,21.33,0.9,11.4
9/18/1928,21.18,21.18,21.18,21.18,-0.7,10.8
9/19/1928,21.18,21.18,21.18,21.18,0,10.85
9/20/1928,21.22,21.22,21.22,21.22,0.19,10.7
9/21/1928,21.36,21.36,21.36,21.36,0.66,10.73
9/24/1928,21.43,21.43,21.43,21.43,0.33,10.04
9/25/1928,21.41,21.41,21.41,21.41,-0.09,9.19
9/26/1928,21.4,21.4,21.4,21.4,-0.05,9.18
9/27/1928,21.13,21.13,21.13,21.13,-1.26,10.36
9/28/1928,21.14,21.14,21.14,21.14,0.05,10.3
10/1/1928,21.36,21.36,21.36,21.36,1.04,10.11
10/2/1928,21.26,21.26,21.26,21.26,-0.47,10.29
10/3/1928,21.19,21.19,21.19,21.19,-0.33,10.42
10/4/1928,21.26,21.26,21.26,21.26,0.33,9.48
10/5/1928,21.22,21.22,21.22,21.22,-0.19,9.53
10/8/1928,21.11,21.11,21.11,21.11,-0.52,9.52
10/9/1928,21.18,21.18,21.18,21.18,0.33,9.54
10/10/1928,21.41,21.41,21.41,21.41,1.09,10
10/11/1928,21.51,21.51,21.51,21.51,0.47,9.42
10/12/1928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.53
10/15/1928,21.65,21.65,21.65,21.65,0.65,9.5
10/16/1928,21.72,21.72,21.72,21.72,0.32,9.45
10/17/1928,21.79,21.79,21.79,21.79,0.32,9.19
10/18/1928,21.84,21.84,21.84,21.84,0.23,9.02
10/19/1928,21.96,21.96,21.96,21.96,0.55,8.6
10/22/1928,21.81,21.81,21.81,21.81,-0.68,8.78
10/23/1928,21.95,21.95,21.95,21.95,0.64,8.88
10/24/1928,21.99,21.99,21.99,21.99,0.18,8.86
10/25/1928,21.91,21.91,21.91,21.91,-0.36,8.98
10/26/1928,21.65,21.65,21.65,21.65,-1.19,9.5
10/29/1928,22,22,22,22,1.62,10.3
10/30/1928,21.76,21.76,21.76,21.76,-1.09,10.96
10/31/1928,21.68,21.68,21.68,21.68,-0.37,11.05
11/1/1928,21.99,21.99,21.99,21.99,1.43,11.66
11/2/1928,21.95,21.95,21.95,21.95,-0.18,11.67
11/5/1928,22.24,22.24,22.24,22.24,1.32,12.23
11/6/1928,22.5,22.5,22.5,22.5,1.17,12.61
11/7/1928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.97
11/8/1928,22.39,22.39,22.39,22.39,-0.49,12.17
11/9/1928,22.55,22.55,22.55,22.55,0.71,11.99
11/12/1928,22.84,22.84,22.84,22.84,1.29,12.24
11/13/1928,22.91,22.91,22.91,22.91,0.31,12.09
11/14/1928,22.91,22.91,22.91,22.91,0,12.12
11/15/1928,23.03,23.03,23.03,23.03,0.52,12.05
11/16/1928,23.37,23.37,23.37,23.37,1.48,12.26
